Unnamed: 0,FIRST NAME,LAST NAME,SOURCE,COURSE,TRACK,GENDER
2373,Brian,May,Social Media,Python For DataScience,Weekend,Male
758,Leon,Melvin,Social Media,Product Design(UI/UX),Weekend,Male
2287,Juan,Harris,Mr Simps,Product Design(UI/UX),Weekday,Male
2480,Gilbert,Denson,Social Media,Figma Design to Webflow,Weekend,Male
1359,Larry,Williams,WEBSITE,Python For DataScience,Weekday,Male
3516,Lori,Ross,Social Media,Product Management,Weekday,Female
2617,Charles,Weston,Social Media,Figma Design to Webflow,Weekday,Male
1924,Michael,Pace,Social Media,Product Design(UI/UX) ONLINE,Weekday,Male
2070,Micheal,Hood,WEBSITE,Product Design(UI/UX) ONLINE,Weekday,Male
1485,Lonnie,Uselman,Mr Simps,CyberSecurity,ONLINE,Male
2010,Manuel,Browning,Social Media,Full Stack,Weekday,Male
3020,Melanie,Roberts,WEBSITE,Full Stack,Weekend,Female
2542,James,Hammon,Mr Simps,FullStack,Weekday,Male
3344,Chelsea,Williams,Social Media,Product Design(UI/UX) ONLINE,Weekday,Female
1497,Morgan,Holland,Social Media,Product Design(UI/UX),Weekday,Male
1759,Trent,Hays,WEBSITE,Full Stack,Weekday,Male
293,Timothy,Munari,Mr Simps,CyberSecurity,Weekday,Male
1874,Stephen,Bagwell,Mr Simps,Product Design(UI/UX) ONLINE,Weekday,Male
2970,John,Sykes,Social Media,Figma Design to Webflow,Weekday,Male
1319,Alonzo,Greeson,WEBSITE,Backend With Python Django,Weekday,Male
943,Robert,Nobles,WEBSITE,Figma Design to Webflow,Weekday,Male
677,Phillip,Nicely,WEBSITE,Product Management,Weekday,Male
105,David,Martell,Social Media,Backend With Python Django,Weekday,Male
1765,Eric,Medina,WEBSITE,Product Design(UI/UX) ONLINE,Weekend,Male
1569,Lawrence,Lounsbury,Social Media,Figma Design to Webflow,Weekday,Male
276,Jonah,Badgley,Mr Simps,FullStack,Weekday,Male
708,Alan,Smith,WEBSITE,Full Stack,Weekend,Male
839,Larry,Shehan,Social Media,Python For Data Science,Weekend,Male
155,Andrew,Quigley,Social Media,Frontend Web Development,Weekday,Male
356,Aaron,Ray,Social Media,FullStack,Weekday,Male
2652,Derrick,Shippee,Social Media,Product Design,ONLINE,Male
954,Edward,Romero,WEBSITE,Product Design(UI/UX),Weekday,Male
1658,Orlando,Beck,Social Media,Python For Data Science,Weekday,Male
167,Pierre,Coffie,WEBSITE,Figma Design to Webflow,ONLINE,Male
302,Jerry,Carter,Social Media,Full Stack,Weekday,Male
2087,Robert,Rasche,Mr Simps,FullStack,Weekend,Male
